"Post Test Set 1","A table has the following columns: (OrderID, ProductID, ProductPrice, CustomerID, CustomerName). The ProductPrice is dependent on ProductID, and CustomerName is dependent on CustomerID. What normalization step is required to address these dependencies if the table is in 2NF?",Remove partial dependencies,Remove transitive dependencies to achieve 3NF,Create a composite primary key,Add foreign keys to link the tables,b
"Post Test Set 2","Which of the following is NOT part of normalization?",Reducing data redundancy,Avoiding partial dependencies,Storing data in one large table,Eliminating transitive dependencies,c
"Post Test Set 2","What is the main advantage of normalizing a database to 2NF?",Eliminating repeating groups,Removing partial dependencies and redundancy,Ensuring atomic values,Removing transitive dependencies,b
"Post Test Set 2","What must be done when a table is in 2NF but has partial dependencies?",Remove the composite key,Split the table into smaller tables,Create new tables to remove partial dependencies,Remove the foreign key,c
"Post Test Set 2","What happens when you remove partial dependencies in 2NF?",The table moves to 3NF,The table moves to BCNF,The table moves to 1NF,The table becomes more redundant,a
"Post Test Set 2","You are given a table with columns (EmployeeID, DepartmentID, ManagerID, ManagerPhone). The ManagerPhone is dependent on ManagerID, and ManagerID is dependent on DepartmentID. What step should be taken to normalize this table to 3NF?",Remove partial dependencies to convert to 2NF,Remove transitive dependencies to convert to 3NF,Ensure atomic values to convert to 1NF,Remove foreign keys to make the table simpler,b
"Post Test Set 3","Which of the following is the simplest form of a relational database?",2NF (Second Normal Form),3NF (Third Normal Form),1NF (First Normal Form),BCNF (Boyce-Codd Normal Form),c
"Post Test Set 3","Which of the following best describes the Third Normal Form (3NF)?",A table with no repeating groups,A table with no partial dependencies,A table with no transitive dependencies,A table with no foreign keys,c
"Post Test Set 3","Which of the following is an example of a transitive dependency in a table?",Employee → Department → DepartmentManager,Employee → Department,Department → DepartmentManager,Employee → Manager,a
"Post Test Set 3","In a table with transitive dependencies, what is the next step after normalizing to 2NF?",Normalize to 3NF by removing transitive dependencies,Convert to 1NF,Add composite keys,Remove atomic values,a
"Post Test Set 3","Which of the following statements about normalization is correct in the context of 3NF?",3NF ensures that every non-prime attribute is functionally dependent on every key and that there are no transitive dependencies,3NF ensures there are no composite keys,3NF ensures all attributes are atomic,3NF ensures every attribute is fully functionally dependent on the primary key,a
"Post Test Set 4","Which of the following is a key concept of the Second Normal Form (2NF)?",Eliminate repeating groups,Remove partial dependencies,Remove transitive dependencies,Ensure that all columns have atomic values,b
"Post Test Set 4","Which of the following actions is necessary to move from 1NF to 2NF?",Remove transitive dependencies,Remove partial dependencies,Eliminate repeating groups,Remove foreign keys,b
"Post Test Set 4","What must be done to convert a table from 2NF to 3NF?",Remove partial dependencies,Remove transitive dependencies,Eliminate repeating groups,Add a foreign key,b
"Post Test Set 4","What must be done when a table is in 3NF but has transitive dependencies?",Remove the transitive dependencies,Convert it to 2NF,Add foreign keys to related tables,Normalize it into BCNF,a
"Post Test Set 4","Given a table with the columns (StudentID, CourseID, CourseName, InstructorID, InstructorName), if InstructorName depends on InstructorID, and InstructorID depends on CourseID, what normalization should be performed?",Convert to 1NF,Convert to 2NF,Convert to 3NF by removing transitive dependencies,Convert to BCNF by ensuring no non-prime attribute determines a prime attribute,c
"Post Test Set 5","Which of the following describes a table in Third Normal Form (3NF)?",No partial dependencies,No transitive dependencies,Every non-prime attribute is non-transitively dependent on every key,All of the above,d
"Post Test Set 5","In a table that violates 2NF, which of the following must be addressed?",Remove atomicity violations,Remove partial dependencies,Eliminate transitive dependencies,Add primary keys,b
"Post Test Set 5","When normalizing a table to 3NF, what type of dependencies are eliminated?",Partial dependencies,Transitive dependencies,Both partial and transitive dependencies,None of the above,b
"Post Test Set 5","In 3NF, what does ""transitive dependency"" mean?",A non-key attribute depends on another non-key attribute,A non-key attribute depends on part of the primary key,A non-key attribute depends on the entire primary key,A primary key depends on a non-key attribute,a
"Post Test Set 5","Which of the following is an example of a table that violates BCNF but is in 3NF?",A table with a functional dependency where a non-prime attribute determines a prime attribute,A table with no foreign keys,A table where every non-prime attribute is functionally dependent on the primary key,A table where each row is unique and contains no repeating groups,a
